#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
    135       135      12      46367.38      22930.55     762673.95      0.18376      0.62911     0.8410     0.3910     0.3910
    135       135      15      47020.74      22930.55     694274.60      0.20111      1.24663     0.8510     0.1900     0.1900
    136       136       3      59829.21       1053.90    1136319.95      0.32999     -1.06936     0.6580     0.7980     0.6580
    136       136       6      59596.87       1053.90     954429.49      0.85143     -0.36215     0.3470     0.6900     0.3470
    136       136       9      60409.53       1053.90     801720.86      0.80579      0.55018     0.4070     0.3970     0.3970
    136       136      12      61451.59       1053.90     780893.29      1.17589      0.76405     0.2460     0.3340     0.2460
    136       136      15      61307.67       1053.90     708846.02      1.23275      1.39663     0.1910     0.1480     0.1480
    137       137       3      91417.55       8828.99     752582.40      0.51079      0.40738     0.5190     0.5390     0.5190
    137       137       6      90901.05       8828.99    1389881.02      1.76502     -3.15537     0.0430     0.9860     0.0430
    137       137       9      90043.78       8828.99    1304343.30      0.77589     -3.10199     0.3760     0.9840     0.3760
    137       137      12      89694.95       8828.99    1167456.50      0.40033     -2.44302     0.6890     0.9560     0.6890
    137       137      15      88130.33       8828.99    1142920.58      0.14026     -2.06779     0.8830     0.9400     0.8830
    138       138       3      75500.40       2663.08     143059.01      0.64262      3.22518     0.4010     0.0280     0.0280
    138       138       6      75297.87       2663.08     378199.30      0.90045      2.83522     0.3040     0.0220     0.0220
    138       138       9      75203.06       2663.08     578228.61      0.38674      2.06000     0.7130     0.0810     0.0810
    138       138      12      74303.69       2663.08     897197.39      0.05959      0.08685     0.9540     0.5300     0.5300
    138       138      15      75625.97       2663.08     809066.06      0.04814      0.76518     0.9600     0.3090     0.3090
    139       139       3     114396.97       5010.51    1344717.14      0.77286     -2.88234     0.2900     0.9530     0.2900
    139       139       6     112690.55       5010.51    1202841.92      2.30957     -2.40109     0.0100     0.9350     0.0100
    139       139       9     113466.51       5010.51    1124810.07      2.02235     -2.63718     0.0370     0.9670     0.0370
    139       139      12     112141.34       5010.51    1024108.87      1.56734     -1.72518     0.1180     0.9270     0.1180
    139       139      15     111737.19       5010.51     920091.40      1.93940     -0.99213     0.0330     0.7910     0.0330
    140       140       3      96865.31       6934.30     807619.99      0.54252      0.15729     0.5060     0.6050     0.5060
    140       140       6      94880.59       6934.30    1035121.75      1.65815     -1.11135     0.0580     0.8220     0.0580
    140       140       9      93693.78       6934.30    1125003.28      2.23880     -1.89813     0.0220     0.9330     0.0220
    140       140      12      91169.10       6934.30    1264688.44      0.98974     -3.17342     0.2970     0.9890     0.2970
    140       140      15      92282.30       6934.30    1190074.17      0.48075     -2.85707     0.6580     0.9930     0.6580
    141       141       3      53834.93       3973.46     329916.45      0.51923      2.37251     0.5100     0.1350     0.1350
    141       141       6      53768.33       3973.46     503761.78      0.12970      2.03653     0.8770     0.1030     0.1030
    141       141       9      55335.96       3973.46     624141.70      1.17790      1.68059     0.2400     0.1380     0.1380
    141       141      12      55207.10       3973.46     730120.83      0.44901      1.12573     0.6370     0.2590     0.2590
    141       141      15      55561.68       3973.46     700584.97      0.34334      1.46097     0.7160     0.1400     0.1400
    142       142       3      55376.47       3973.46     726708.16      0.09836      0.69565     0.8880     0.4880     0.4880
    142       142       6      56854.28       3973.46     523652.26      0.11133      1.99156     0.9000     0.1270     0.1270
    142       142       9      56184.63       3973.46     603249.57      0.66049      1.81358     0.4640     0.1150     0.1150
    142       142      12      56118.95       3973.46     679761.04      0.04622      1.48447     0.9740     0.1830     0.1830
    142       142      15      57490.95       3973.46     733686.23      0.57067      1.20314     0.5500     0.2070     0.2070
    143       143       3      83922.78       4009.00    2031462.42      0.29838     -5.00846     0.7030     0.9970     0.7030
    143       143       6      84227.41       4009.00    1784883.35      0.27343     -4.99091     0.7460     1.0000     0.7460
    143       143       9      83726.93       4009.00    1448420.00      0.35852     -3.65281     0.6920     0.9970     0.6920
    143       143      12      83150.12       4009.00    1250904.70      0.46616     -2.66752     0.6330     0.9860     0.6330
    143       143      15      82898.82       4009.00    1145302.58      0.21393     -2.08652     0.8220     0.9610     0.8220
    144       144       3      48181.01        948.77     446209.14      0.08112      1.81063     0.9080     0.2710     0.2710
    144       144       6      48474.73        948.77     490570.41      0.12949      2.04171     0.8820     0.1130     0.1130
    144       144       9      50255.62        948.77     465673.69      0.03215      2.62073     0.9770     0.0360     0.0360
    144       144      12      49883.17        948.77     579010.03      0.80646      2.10670     0.4230     0.0620     0.0620
    144       144      15      49800.31        948.77     742350.31      0.31636      1.00181     0.7520     0.2570     0.2570
    145       145       3      68216.78        333.38    1282623.90      0.28845     -1.57217     0.7140     0.8750     0.7140
    145       145       6      68875.44        333.38     954501.65      0.13667     -0.24212     0.8920     0.6490     0.6490
    145       145       9      69274.75        333.38     815274.87      0.44824      0.58373     0.6510     0.4070     0.4070
    145       145      12      69929.65        333.38     937715.18      0.92957     -0.19495     0.3290     0.6300     0.3290
    145       145      15      69874.97        333.38     893820.20      1.01931      0.12065     0.3010     0.5220     0.3010
    146       146       3      87412.45         81.20     248875.44      0.25803      2.74459     0.7230     0.0680     0.0680
    146       146       6      88736.58         81.20     714226.71      1.08694      0.91376     0.2390     0.3390     0.2390
    146       146       9      88412.37         81.20     790442.24      1.51143      0.57488     0.1020     0.3890     0.1020
    146       146      12      86802.02         81.20     765780.96      1.28584      0.82064     0.1750     0.3110     0.1750
    146       146      15      90044.28         81.20     884416.37      1.45741     -0.34646     0.1330     0.6630     0.1330
    147       147       3      87412.45       2372.83     248875.44      0.25803      2.74459     0.7280     0.0740     0.0740
    147       147       6      86235.70       2372.83     783077.60      1.18646      0.53405     0.1880     0.4320     0.1880
    147       147       9      84560.25       2372.83     828919.95      1.21441      0.32765     0.1980     0.4670     0.1980
    147       147      12      84697.85       2372.83     758372.58      1.12413      0.87391     0.2040     0.3130     0.2040
    147       147      15      85348.48       2372.83     802955.04      1.31087      0.60505     0.1780     0.3920     0.1780
